,Player_ID,First_Name,Last_Name,Full_Name,Matches,Innings,Runs,Balls_Faced,Highest_Score,Batting_Average,Strike_Rate,Fifties,Hundreds,Fours,Sixes,Not_Outs,Catches,Stumpings,Overs,Runs_Conceded,Wickets,Bowling_Average,Economy,Bowling_Strike_Rate,Best_Bowling,4_Wickets,5_Wickets
19,1705,Shimron,Hetmyer,Shimron Hetmyer,86,79,1483,976,75,29.08,151.95,5,0,93,93,28,45,0,0.00,0,0,,,,,0,0
20,1,MS,Dhoni,MS Dhoni,278,242,5439,3957,84*,38.30,137.45,24,0,375,264,100,158,47,0.00,0,0,,,,,0,0
21,3180,Swapnil,Singh,Swapnil Singh,14,9,51,45,15*,10.20,113.33,0,0,3,3,4,3,0,24.00,212,7,30.29,8.83,20.57,2/28,0,0
22,13803,Shahbaz,Ahmed,Shahbaz Ahmed,61,39,554,456,59*,18.47,121.49,1,0,30,25,9,21,0,106.50,1041,23,45.26,9.77,27.78,3/23,0,0
23,20701,Naman,Dhir,Naman Dhir,39,31,644,355,62*,29.27,181.41,1,0,60,36,9,27,,12.70,97,0,,7.66,,0/13,0,0
24,1564,Sarfaraz,Khan,Sarfaraz Khan,40,28,441,319,67,23.21,138.24,1,0,50,11,9,4,0,0.30,6,0,,18.00,,0/6,0,0
25,2964,Khaleel,Ahmed,Khaleel Ahmed,85,8,3,11,1*,0.75,27.27,0,0,0,0,4,6,0,306.00,2775,104,26.68,9.07,17.65,3/21,0,0
26,5396,Sherfane,Rutherford,Sherfane Rutherford,23,20,397,289,46,24.81,137.37,0,0,25,26,4,6,0,6.80,59,1,59.00,8.63,41.00,1/6,0,0
27,22383,Lhuan-dre,Pretorius,Lhuan-dre Pretorius,1,0,,,,,,0,0,,,0,,,,,,,,,,,
28,4305,Vishnu,Vinod,Vishnu Vinod,6,6,56,57,30,9.33,98.25,0,0,3,3,0,1,2,0.00,0,0,,,,,0,0
29,20683,Suryansh,Shedge,Suryansh Shedge,10,6,14,22,4,2.33,63.64,0,0,0,0,0,2,,6.00,80,0,,13.33,,0/40,0,0
30,20685,Azmatullah,Omarzai,Azmatullah Omarzai,25,14,156,115,21*,13.00,135.65,0,0,14,8,2,2,,75.00,744,20,37.20,9.92,22.50,2/27,0,0
31,20717,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13538,Yashasvi,Jaiswal,Yashasvi Jaiswal,67,66,2166,1417,124,34.38,152.86,15,2,258,92,3,28,0,0.20,6,0,,36.00,,0/6,0,0
33,2972,Rishabh,Pant,Rishabh Pant,125,123,3553,2407,128*,34.16,147.61,19,2,319,170,19,80,24,0.00,0,0,,,,,0,0
34,22032,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20680,Corbin,Bosch,Corbin Bosch,4,4,94,64,27,23.50,146.88,0,0,6,6,0,4,,14.00,110,2,55.00,7.86,42.00,1/26,0,0
36,1020,Travis,Head,Travis Head,38,37,1146,674,102,34.73,170.03,8,1,126,55,4,5,0,9.70,113,2,56.50,11.69,29.00,2/30,0,0
37,3729,Lockie,Ferguson,Lockie Ferguson,53,12,76,48,24*,25.33,158.33,0,0,8,2,9,9,0,181.80,1634,56,29.18,8.99,19.48,4/28,1,0
38,22378,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2885,Rashid,Khan,Rashid Khan,151,76,625,393,79*,13.30,159.03,1,0,43,44,29,54,0,586.50,4280,167,25.63,7.30,21.07,4/24,2,0
40,5443,Ruturaj,Gaikwad,Ruturaj Gaikwad,71,70,2502,1820,108*,40.35,137.47,20,2,231,95,8,39,0,0.00,0,0,,,,,0,0
41,276,Karun,Nair,Karun Nair,84,76,1694,1286,89,23.86,131.73,11,0,185,49,5,25,0,0.00,0,0,,,,,0,0
42,5433,Anrich,Nortje,Anrich Nortje,50,19,49,49,23*,8.17,100.00,0,0,6,0,13,12,0,189.70,1740,62,28.06,9.17,18.35,3/33,0,0
43,1075,Jason,Holder,Jason Holder,26,16,189,156,47*,14.54,121.15,0,0,11,11,3,7,0,95.80,786,35,22.46,8.20,16.43,4/52,1,0
44,20690,Angkrish,Raghuvanshi,Angkrish Raghuvanshi,22,18,463,320,54,28.94,144.69,2,0,46,16,2,6,,,,,,,,,,
45,33333,Abishek,Porel,Abishek Porel,31,29,661,441,65,25.42,149.89,3,0,65,27,3,9,,,,,,,,,,
46,22019,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2973,Washington,Sundar,Washington Sundar,72,50,644,485,49,17.41,132.78,0,0,52,23,13,18,0,197.30,1547,41,37.73,7.84,28.88,3/16,0,0
48,488,Pat,Cummins,Pat Cummins,86,59,709,460,66*,20.85,154.13,3,0,45,48,25,25,0,319.20,2823,95,29.72,8.84,20.16,4/34,1,0
49,5847,Digvesh,Singh,Digvesh Singh,26,4,2,6,1,1.00,33.33,0,0,0,0,2,6,,104.00,858,28,30.64,8.25,22.29,2/30,0,0
50,20599,Arshad,Khan,Arshad Khan,28,17,147,107,58*,18.38,137.38,1,0,6,12,9,11,,66.30,738,18,41.00,11.13,22.11,3/39,0,0
51,19351,Ravi,Bishnoi,Ravi Bishnoi,88,21,58,82,13,4.83,70.73,0,0,2,4,9,32,0,308.20,2630,81,32.47,8.53,22.83,3/24,0,0
52,4445,Riyan,Parag,Riyan Parag,98,86,1959,1340,95,27.21,146.19,8,0,138,114,14,53,0,69.20,647,10,64.70,9.35,41.50,1/10,0,0
53,5615,,,,,,,,,,,,,,,,,,,,,,,,,,
54,10788,Anuj,Rawat,Anuj Rawat,24,21,318,267,66,19.88,119.10,1,0,26,14,5,17,0,0.00,0,0,,,,,0,0
